wosarticle__ti	wosarticle__py	docauthinst__AU	wosarticle__doc	wosarticle__di	relevance_netrelevant
Dynamic models of residential electricity demand: Evidence from Switzerland	2017	"Boogen, N; <br>Datta, S; <br>Filippini, M"	"<a href=""/scoping/document/47/809309"">809309</a>"	http://dx.doi.org/10.1016/j.esr.2017.09.010	0
Promoting Sustainable Hotel Guest Behavior: A Systematic Review and Meta-Analysis	2017	"Nisa, C; <br>Varum, C; <br>Botelho, A"	"<a href=""/scoping/document/47/809311"">809311</a>"	http://dx.doi.org/10.1177/1938965517704371	0
A Vertical Flux-Switching Permanent Magnet Based Oscillating Wave Power Generator with Energy Storage	2017	"Zou, Y; <br>Cheng, KWE"	"<a href=""/scoping/document/47/809315"">809315</a>"	http://dx.doi.org/10.3390/en10070887	0
Harnessing Partial Packets in Wireless Networks: Throughput and Energy Benefits	2017	"Angelopoulos, G; <br>Medard, M; <br>Chandrakasan, AP"	"<a href=""/scoping/document/47/809319"">809319</a>"	http://dx.doi.org/10.1109/TWC.2016.2628033	0
Joint Power and Rate Control for Packet Coding Over Fading Channels	2017	"Ahmed, R; <br>Stojanovic, M"	"<a href=""/scoping/document/47/809321"">809321</a>"	http://dx.doi.org/10.1109/JOE.2016.2593864	0
Energy conscious deterministic self-healing new generation wireless sensor network: smart WSN using the Aatral framework	2017	"Thangaraj, M; <br>Anuradha, S"	"<a href=""/scoping/document/47/809323"">809323</a>"	http://dx.doi.org/10.1007/s11276-016-1214-2	0
Distributed Consensus of Multiple Euler-Lagrange Systems Networked by Sampled-Data Information With Transmission Delays and Data Packet Dropouts	2017	"Zhao, XD; <br>Zheng, XL; <br>Ma, C; <br>Li, R"	"<a href=""/scoping/document/47/809325"">809325</a>"	http://dx.doi.org/10.1109/TASE.2015.2448934	0
The Effect of Information on TOU Electricity Use: An Irish Residential Study	2017	Pon, S	"<a href=""/scoping/document/47/809326"">809326</a>"	http://dx.doi.org/10.5547/01956574.38.6.spon	1
When social practices meet smart grids: Flexibility, grid management, and domestic consumption in The Netherlands	2017	"Smale, R; <br>van Vliet, B; <br>Spaargaren, G"	"<a href=""/scoping/document/47/809327"">809327</a>"	http://dx.doi.org/10.1016/j.erss.2017.06.037	0
Risk preference and adverse selection for participation in time-of-use electricity pricing programs	2017	"Qiu, YM; <br>Colson, G; <br>Wetzstein, ME"	"<a href=""/scoping/document/47/809329"">809329</a>"	http://dx.doi.org/10.1016/j.reseneeco.2016.12.003	1
Winter Residential Optional Dynamic Pricing: British Columbia, Canada	2017	"Woo, CK; <br>Zarnikau, J; <br>Shiu, A; <br>Li, R"	"<a href=""/scoping/document/47/809330"">809330</a>"	http://dx.doi.org/10.5547/01956574.38.5.cwoo	1
Review of barriers to the introduction of residential demand response: a case study in the Netherlands	2017	"Weck, MHJ; <br>van Hooff, J; <br>van Sark, WGJHM"	"<a href=""/scoping/document/47/809332"">809332</a>"	http://dx.doi.org/10.1002/er.3683	0
"Nudges from school children and electricity conservation: Evidence from the ""Project Carbon Zero"" campaign in Singapore"	2017	"Agarwal, S; <br>Rengarajan, S; <br>Sing, TF; <br>Yang, Y"	"<a href=""/scoping/document/47/809333"">809333</a>"	http://dx.doi.org/10.1016/j.eneco.2016.10.014	1
Real-Time Distributed Management for Control of Smart Grids	2017	"Mhadhbi, Z; <br>Zairi, S; <br>Gueguen, C; <br>Zouari, B"	"<a href=""/scoping/document/47/809341"">809341</a>"	http://dx.doi.org/10.1109/JESTPE.2016.2620117	0
Optimal stochastic energy management of retailer based on selling price determination under smart grid environment in the presence of demand response program	2017	"Nojavan, S; <br>Zare, K; <br>Mohammadi-Ivatloo, B"	"<a href=""/scoping/document/47/809342"">809342</a>"	http://dx.doi.org/10.1016/j.apenergy.2016.11.024	0
Are policy incentives for solar power effective? Evidence from residential installations in the Northeast	2017	"Crago, CL; <br>Chernyakhovskiy, I"	"<a href=""/scoping/document/47/809343"">809343</a>"	http://dx.doi.org/10.1016/j.jeem.2016.09.008	0
Artificial neural network decision support tool for assessment of the energy performance and the refurbishment actions for the non-residential building stock in Southern Italy	2017	"Beccali, M; <br>Ciulla, G; <br>Lo Brano, V; <br>Galatioto, A; <br>Bonomolo, M"	"<a href=""/scoping/document/47/809345"">809345</a>"	http://dx.doi.org/10.1016/j.energy.2017.05.200	0
Rational consumer decisions in a peak time rebate program	2017	"Vuelvas, J; <br>Ruiz, F"	"<a href=""/scoping/document/47/809348"">809348</a>"	http://dx.doi.org/10.1016/j.epsr.2016.11.001	0
Categories and functionality of smart home technology for energy management	2017	"Ford, R; <br>Pritoni, M; <br>Sanguinetti, A; <br>Karlin, B"	"<a href=""/scoping/document/47/809349"">809349</a>"	http://dx.doi.org/10.1016/j.buildenv.2017.07.020	0
Optimal scheduling of household appliances for smart home energy management considering demand response	2017	"Lu, XH; <br>Zhou, KL; <br>Chan, FTS; <br>Yang, SL"	"<a href=""/scoping/document/47/809350"">809350</a>"	http://dx.doi.org/10.1007/s11069-017-2937-9	0
Myopic loss aversion in the response of electric vehicle owners to the scheduling and pricing of vehicle charging	2017	"Fetene, GM; <br>Kaplan, S; <br>Sebald, AC; <br>Prato, CG"	"<a href=""/scoping/document/47/809351"">809351</a>"	http://dx.doi.org/10.1016/j.trd.2016.11.020	0
Feedback and efficient behavior	2017	"Casal, S; <br>DellaValle, N; <br>Mittone, L; <br>Soraperra, I"	"<a href=""/scoping/document/47/809356"">809356</a>"	http://dx.doi.org/10.1371/journal.pone.0175738	0
Gain and loss of money in a choice experiment. The impact of financial loss aversion and risk preferences on willingness to pay to avoid renewable energy externalities	2017	"Bartczak, A; <br>Chilton, S; <br>Czajkowski, M; <br>Meyerhoff, J"	"<a href=""/scoping/document/47/809359"">809359</a>"	http://dx.doi.org/10.1016/j.eneco.2017.04.020	0
Green nudges: Do they work? Are they ethical?	2017	Schubert, C	"<a href=""/scoping/document/47/809360"">809360</a>"	http://dx.doi.org/10.1016/j.ecolecon.2016.11.009	0
Interactive UHF/UWB RFID tag for mass customization	2017	"Shen, J; <br>Majid, BN; <br>Xie, L; <br>Mao, J; <br>Pang, ZB; <br>Feng, Y; <br>Xu, LD; <br>Tenhunen, H; <br>Zou, Z; <br>Zheng, LR"	"<a href=""/scoping/document/47/809363"">809363</a>"	http://dx.doi.org/10.1007/s10796-016-9653-y	0
Tailor-Made Feedback to Reduce Residential Electricity Consumption: The Effect of Information on Household Lifestyle in Japan	2017	"Ozawa, A; <br>Furusato, R; <br>Yoshida, Y"	"<a href=""/scoping/document/47/809371"">809371</a>"	http://dx.doi.org/10.3390/su9040528	0
Stiffness control of magnetorheological gels for adaptive tunable vibration absorber	2017	"Kim, HK; <br>Kim, HS; <br>Kim, YK"	"<a href=""/scoping/document/47/809373"">809373</a>"	http://dx.doi.org/10.1088/1361-665X/26/1/015016	0
Get thee to the gym! A field experiment on improving exercise habits	2017	"Condliffe, S; <br>Isgun, E; <br>Fitzgerald, B"	"<a href=""/scoping/document/47/809376"">809376</a>"	http://dx.doi.org/10.1016/j.socec.2017.07.007	0
Virtual electricity retailer for residents under single electricity pricing environment	2017	"Wang, Z; <br>Li, Y; <br>Shen, YW; <br>Zhou, L; <br>Wang, C"	"<a href=""/scoping/document/47/809377"">809377</a>"	http://dx.doi.org/10.1007/s40565-017-0269-0	0
Sequential early-design guidance for residential single-family buildings using a probabilistic metamodel of energy consumption	2017	"Hester, J; <br>Gregory, J; <br>Kirchain, R"	"<a href=""/scoping/document/47/809379"">809379</a>"	http://dx.doi.org/10.1016/j.enbuild.2016.10.047	0
Promoting peak shaving while minimizing electricity consumption payment for residential consumers by using storage devices	2017	"Oprea, SV; <br>Bara, A; <br>Cebeci, ME; <br>Tor, OB"	"<a href=""/scoping/document/47/809380"">809380</a>"	http://dx.doi.org/10.3906/elk-1606-152	0
Demand response under real-time pricing for domestic households with renewable DGs and storage	2017	"Yang, Q; <br>Fang, XL"	"<a href=""/scoping/document/47/809384"">809384</a>"	http://dx.doi.org/10.1049/iet-gtd.2016.1066	0
Reversing the Landauer's erasure: Single-electron Maxwell's demon operating at the limit of thermodynamic efficiency	2017	"Averin, DV; <br>Pekola, JP"	"<a href=""/scoping/document/47/809386"">809386</a>"	http://dx.doi.org/10.1002/pssb.201600677	0
Optimal Design of Random Unitary Beamforming for Energy Efficiency in MIMO Broadcast Channels	2017	"Kwon, JH; <br>Ko, YC; <br>Nam, SS"	"<a href=""/scoping/document/47/809390"">809390</a>"	http://dx.doi.org/10.1109/ACCESS.2017.2723078	0
Social comparison nudges - Guessing the norm increases charitable giving	2017	"Bartke, S; <br>Friedl, A; <br>Gelhaar, F; <br>Reh, L"	"<a href=""/scoping/document/47/809392"">809392</a>"	http://dx.doi.org/10.1016/j.econlet.2016.12.023	0
Unintended outcomes of electricity smart-metering: trading-off consumption and investment behaviour	2017	"McCoy, D; <br>Lyons, S"	"<a href=""/scoping/document/47/809396"">809396</a>"	http://dx.doi.org/10.1007/s12053-016-9452-9	1
Impact of information feedback on residential electricity demand in China	2017	"Du, LM; <br>Guo, J; <br>Wei, C"	"<a href=""/scoping/document/47/809397"">809397</a>"	http://dx.doi.org/10.1016/j.resconrec.2017.07.004	0
Cross-cultural assessment of the effectiveness of eco-feedback in building energy conservation	2017	"Ma, GF; <br>Lin, J; <br>Li, N; <br>Zhou, JJ"	"<a href=""/scoping/document/47/809399"">809399</a>"	http://dx.doi.org/10.1016/j.enbuild.2016.11.008	0
A look at the response of households to time-of-use electricity pricing in Saudi Arabia and its impact on the wider economy	2017	Matar, W	"<a href=""/scoping/document/47/809400"">809400</a>"	http://dx.doi.org/10.1016/j.esr.2017.02.002	0
Singlet oxygen feedback delayed fluorescence of protoporphyrin IX in organic solutions	2017	"Vinklarek, IS; <br>Scholz, M; <br>Dedic, R; <br>Hala, J"	"<a href=""/scoping/document/47/809401"">809401</a>"	http://dx.doi.org/10.1039/c6pp00298f	0
Adaptive and Nonlinear Control of Discharge Pressure for Variable Displacement Axial Piston Pumps	2017	"Koivumaki, J; <br>Mattila, J"	"<a href=""/scoping/document/47/809405"">809405</a>"	http://dx.doi.org/10.1115/1.4036537	0
An open solution to provide personalized feedback for building energy management	2017	"Monacchi, A; <br>Versolatto, F; <br>Herold, M; <br>Egarter, D; <br>Tonello, AM; <br>Elmehreich, W"	"<a href=""/scoping/document/47/809413"">809413</a>"	http://dx.doi.org/10.3233/AIS-170422	0
MTPA based operation point speed tracking for PMSM drives without explicit current regulation	2017	"Chaoui, H; <br>Khayamy, M; <br>Okoye, O"	"<a href=""/scoping/document/47/809414"">809414</a>"	http://dx.doi.org/10.1016/j.epsr.2017.05.019	0
Transport efficiency of metachronal waves in 3D cilium arrays immersed in a two-phase flow	2017	"Chateau, S; <br>Favier, J; <br>D'Ortona, U; <br>Poncet, S"	"<a href=""/scoping/document/47/809415"">809415</a>"	http://dx.doi.org/10.1017/jfm.2017.352	0
Energy-efficient response time management for embedded databases	2017	"Kang, W; <br>Chung, J"	"<a href=""/scoping/document/47/809417"">809417</a>"	http://dx.doi.org/10.1007/s11241-016-9264-1	0
Single-temperature quantum engine without feedback control	2017	"Yi, J; <br>Talkner, P; <br>Kim, YW"	"<a href=""/scoping/document/47/809426"">809426</a>"	http://dx.doi.org/10.1103/PhysRevE.96.022108	0
Willingness to participate in direct load control: The role of consumer distrust	2017	"Stenner, K; <br>Frederiks, ER; <br>Hobman, EV; <br>Cook, S"	"<a href=""/scoping/document/47/809428"">809428</a>"	http://dx.doi.org/10.1016/j.apenergy.2016.10.099	0
Longitudinal analysis of normative energy use feedback on dormitory occupants	2017	"Anderson, K; <br>Song, K; <br>Lee, S; <br>Krupka, E; <br>Lee, H; <br>Park, M"	"<a href=""/scoping/document/47/809433"">809433</a>"	http://dx.doi.org/10.1016/j.apenergy.2016.12.086	1
Techno-economics and environmental analysis of energy storage for a student residence under a South African time-of-use tariff rate	2017	"Masebinu, SO; <br>Akinlabi, ET; <br>Muzenda, E; <br>Aboyade, AO"	"<a href=""/scoping/document/47/809434"">809434</a>"	http://dx.doi.org/10.1016/j.energy.2017.06.118	1
Natural gas, trade and sustainable growth: empirical evidence from the top gas consumers of the developing world	2017	"Alama, MS; <br>Paramati, SR; <br>Shahbaz, M; <br>Bhattacharya, M"	"<a href=""/scoping/document/47/809440"">809440</a>"	http://dx.doi.org/10.1080/00036846.2016.1203064	0
The energy-saving potential of an office under different pricing mechanisms - Application of an agent-based model	2017	"Lin, HY; <br>Wang, QX; <br>Wang, Y; <br>Liu, YL; <br>Sun, Q; <br>Wennersten, R"	"<a href=""/scoping/document/47/809444"">809444</a>"	http://dx.doi.org/10.1016/j.apenergy.2017.05.140	0
Nudging electricity consumption using TOU pricing and feedback: evidence from Irish households	2017	"Di Cosmo, V; <br>O'Hora, D"	"<a href=""/scoping/document/47/809449"">809449</a>"	http://dx.doi.org/10.1016/j.joep.2017.03.005	1
Effect of Photogenerated Dipoles in the Hole Transport Layer on Photovoltaic Performance of Organic-Inorganic Perovskite Solar Cells	2017	"Ahmadi, M; <br>Hsiao, YC; <br>Wu, T; <br>Liu, Q; <br>Qin, W; <br>Hu, B"	"<a href=""/scoping/document/47/809454"">809454</a>"	http://dx.doi.org/10.1002/aenm.201601575	0
Integrated real-time production scheduling of a multiple cryogenic air separation unit and compressor plant	2017	"Adamson, R; <br>Hobbs, M; <br>Silcock, A; <br>Willis, MJ"	"<a href=""/scoping/document/47/809462"">809462</a>"	http://dx.doi.org/10.1016/j.compchemeng.2017.04.001	0
User engaging practices for energy saving in buildings: Critical review and new enhanced procedure	2017	"Pasini, D; <br>Reda, F; <br>Hakkinen, T"	"<a href=""/scoping/document/47/809468"">809468</a>"	http://dx.doi.org/10.1016/j.enbuild.2017.05.010	0
The Role of Sales Agents in Information Disclosure: Evidence from a Field Experiment	2017	"Allcott, H; <br>Sweeney, RL"	"<a href=""/scoping/document/47/809471"">809471</a>"	http://dx.doi.org/10.1287/mnsc.2015.2327	0
Detector with internal gain for short-wave infrared ranging applications	2017	"Fathipour, V; <br>Mohseni, H"	"<a href=""/scoping/document/47/809472"">809472</a>"	http://dx.doi.org/10.1117/1.OE.56.9.091608	0
A Pontryagin Minimum Principle-Based Adaptive Equivalent Consumption Minimum Strategy for a Plug-in Hybrid Electric Bus on a Fixed Route	2017	"Xie, SB; <br>Li, HL; <br>Xin, ZK; <br>Liu, T; <br>Wei, L"	"<a href=""/scoping/document/47/809485"">809485</a>"	http://dx.doi.org/10.3390/en10091379	0
Exploring the Relationship between Energy Cost and People's Consumption Behaviour	2017	"Al-Marri, W.; <br>Al-Habaibeh, A.; <br>Abdo, H."	"<a href=""/scoping/document/47/809535"">809535</a>"	http://dx.doi.org/10.1016/j.egypro.2017.03.793	0
Learning to Buy (and Sell) Demand Response	2017	"Bitar, E.; <br>Khezeli, K.; <br>Lin, W.; <br>Bitar, E."	"<a href=""/scoping/document/47/809538"">809538</a>"	http://dx.doi.org/10.1016/j.ifacol.2017.08.1193	0
Incentives for shaping the consumption profile of a group of consumers with energy storage devices	2017	"Vyatkin, V.; <br>Kilkki, O.; <br>Seilonen, I.; <br>Zenger, K.; <br>Vyatkin, V."	"<a href=""/scoping/document/47/809541"">809541</a>"	http://dx.doi.org/10.1109/ISGTEurope.2016.7856253	1
Analyzing the impacts of Plug-in EVs on the California power grid using quadratic programming and fixed-point iteration	2017	"Bashash, S.; <br>Guo, Y.; <br>Bashash, S."	"<a href=""/scoping/document/47/809554"">809554</a>"	http://dx.doi.org/10.23919/ACC.2017.7963256	0
Application of a Home Energy Management System for Incentive-Based Demand Response Program Implementation	2017	"Corchado, J.M.; <br>Abrishambaf, O.; <br>Ghazvini, M.A.F.; <br>Gomes, L.; <br>Faria, P.; <br>Vale, Z.; <br>Corchado, J.M."	"<a href=""/scoping/document/47/809563"">809563</a>"	http://dx.doi.org/10.1109/DEXA.2016.043	0
Energy behaviour engagement in smart urban environments	2017	"Prada, R.; <br>Carreira, P.; <br>Mendes, G.; <br>Barroca, B.; <br>Amaral, V.; <br>Honkapuro, S.; <br>Prada, R."	"<a href=""/scoping/document/47/809582"">809582</a>"	http://dx.doi.org/10.1016/j.egypro.2017.12.580	0
Simulation study of transactive control strategies for residential HVAC systems	2017	"Bradley, S.R.; <br>Adhikari, R.; <br>Pipattanasomporn, M.; <br>Kuzlu, M.; <br>Bradley, S.R."	"<a href=""/scoping/document/47/809583"">809583</a>"	http://dx.doi.org/10.1109/ISGTEurope.2016.7856240	0
Deferrable energy/commodity purchase and consumption policy under stochastic prices	2017	"Wolfrum, P.; <br>Scheiterer, R.L.; <br>Obradovic, D.; <br>Wolfrum, P."	"<a href=""/scoping/document/47/809599"">809599</a>"	http://dx.doi.org/10.23919/ICCAS.2017.8204311	0
Economic analysis of residential solar microgrids	2017	"Wright, D.; <br>Situ, J.; <br>Wright, D."	"<a href=""/scoping/document/47/809600"">809600</a>"	http://dx.doi.org/10.1109/SEGE.2017.8052783	0
Battery Capacity Estimation for Building Integrated Photovoltaic System: Design Study for Different Geographical Location(s)	2017	"Garud, S.; <br>Yassin, M.A.M.; <br>Kolhe, M.; <br>Sharma, A.; <br>Garud, S."	"<a href=""/scoping/document/47/809602"">809602</a>"	http://dx.doi.org/10.1016/j.egypro.2017.12.226	0
Crude inventory accounting and speculation in the physical oil market	2017	"Lont, D.H.; <br>Diaz-Rainey, I.; <br>Roberts, H.; <br>Lont, D.H."	"<a href=""/scoping/document/47/809605"">809605</a>"	http://dx.doi.org/10.1016/j.eneco.2017.03.029	0
Effective load scheduling of residential consumers based on dynamic pricing with price prediction capabilities	2017	"Kumar, R.; <br>Pal, S.; <br>Kumar, R."	"<a href=""/scoping/document/47/809608"">809608</a>"	http://dx.doi.org/10.1109/ICPEICES.2016.7853245	0
Peak-to-average reduction by community-based DSM	2017	"Ghita, B.; <br>Yaseen, Y.; <br>Ghita, B."	"<a href=""/scoping/document/47/809618"">809618</a>"	http://dx.doi.org/10.1109/SEGE.2017.8052798	0
Using solar PV feed-in tariff policy history to inform a sustainable flexible pricing regime to enhance the diffusion of energy storage and electric vehicles	2017	"Foster, J.; <br>Bell, W.P.; <br>Foster, J."	"<a href=""/scoping/document/47/809628"">809628</a>"	http://dx.doi.org/10.1007/s10818-016-9240-9	0
Design of electricity tariff plans using gap statistic for K-means clustering based on consumers monthly electricity consumption data	2017	"Garg, R.D.; <br>Rathod, R.R.; <br>Garg, R.D."	"<a href=""/scoping/document/47/809640"">809640</a>"	http://dx.doi.org/10.1108/IJESM-02-2016-0005	0
Optimal tariff system for integration of distributed resources based on a comparison of Brazil's and Germany's system	2017	"Richter, A.; <br>De Campos, D.; <br>Neto, E.A.C.A.; <br>Fernandes, R.C.; <br>Hauer, I.; <br>Richter, A."	"<a href=""/scoping/document/47/809654"">809654</a>"	http://dx.doi.org/10.1109/SSCI.2016.7849854	0
Data analytic policy design applied to energy conservation in college dormitories	2017	"Chiu, D.M.; <br>Zhan, L.; <br>Chiu, D.M."	"<a href=""/scoping/document/47/809685"">809685</a>"		0
Mobile Web Energy Monitoring System Using DFRduino Uno	2017	"Llantos, O.E.; <br>Galera, K.M.E.; <br>Llantos, O.E."	"<a href=""/scoping/document/47/809686"">809686</a>"	http://dx.doi.org/10.1016/j.procs.2017.12.208	0
Smart meter tariff pricing using load demand response model	2017	"Taheri, B.; <br>Farhadi, P.; <br>Taheri, B."	"<a href=""/scoping/document/47/809689"">809689</a>"	http://dx.doi.org/10.1109/SGCF.2017.7947618	0
Effectiveness of zero pricing in TOU demand reponses at the residential level	2017	"Lee, W.-J.; <br>Zhao, L.; <br>Yang, Z.; <br>Lee, W.-J."	"<a href=""/scoping/document/47/809693"">809693</a>"	http://dx.doi.org/10.1109/ICPS.2017.7945095	0
Electricity Tariffs Evaluation Using Smart Load Monitoring Devices for Residential Consumer	2017	"Rahman, M.M.; <br>Van Heerden, C.; <br>Shafiullah, G.M."	"<a href=""/scoping/document/47/809695"">809695</a>"	http://dx.doi.org/10.1109/APWC-on-CSE.2016.050	0
Research on integrated energy management for smart community	2017	"Tang, Y.; <br>Wang, J.; <br>Gu, W.; <br>Zhang, C.; <br>Wang, Z.; <br>Tang, Y."	"<a href=""/scoping/document/47/809698"">809698</a>"	http://dx.doi.org/10.7667/PSPC160001	0
The energy hub concept applied to a case study of mixed residential and administrative buildings in Switzerland	2017	"Scartezzini, J.-L.; <br>Perera, A.T.D.; <br>Mauree, D.; <br>Scartezzini, J.-L."	"<a href=""/scoping/document/47/809703"">809703</a>"	http://dx.doi.org/10.1016/j.egypro.2017.07.342	0
"On the Efficiency of Connection Charges&#x2013;Part II: Integration of Distributed Energy Resources"	2017	"Tong, L.; <br>Munoz-Alvarez, D.; <br>Garcia-Franco, J.F.; <br>Tong, L."	"<a href=""/scoping/document/47/809704"">809704</a>"	http://dx.doi.org/10.1109/TPWRS.2017.2782791	0
A demand response optimization model for home appliances load scheduling	2017	"Rabelo, R.A.L.; <br>Veras, J.M.; <br>Pinheiro, P.R.; <br>Silva, I.R.S.; <br>Rabelo, R.A.L."	"<a href=""/scoping/document/47/809709"">809709</a>"	http://dx.doi.org/10.1109/SMC.2017.8123070	0
Fast electrical demand optimization under real-time pricing	2017	"Liebman, A.; <br>He, S.; <br>Wallace, M.; <br>Wilson, C.; <br>Liebman, A."	"<a href=""/scoping/document/47/809718"">809718</a>"		0
A Time-of-Use Tariff Setting Strategy Based on Controlling Parameters and Feedback Regulation	2017	"Jiang, Z.; <br>Xu, T.; <br>Yang, D.; <br>Zhang, Y.; <br>Liu, R.; <br>Jiang, Z."	"<a href=""/scoping/document/47/809719"">809719</a>"	http://dx.doi.org/10.16183/j.cnki.jsjtu.2017.02.018	0
Multi-objective optimal operation of CCHP system with PV/PT integrated module	2017	"Xudong, W.; <br>Xianxu, H.; <br>Ling, J.; <br>Guodong, L.; <br>Xudong, W."	"<a href=""/scoping/document/47/809721"">809721</a>"	http://dx.doi.org/10.1109/ITEC-AP.2017.8081036	0
Smart Community Based Solution for Energy Management: An Experimental Setup for Encouraging Residential and Commercial Consumers Participation in Demand Response Program	2017	"Lee, K.; <br>Alvina, P.; <br>Bai, X.; <br>Chang, Y.; <br>Liang, D.; <br>Lee, K."	"<a href=""/scoping/document/47/809723"">809723</a>"	http://dx.doi.org/10.1016/j.egypro.2017.12.739	0
Price and capacity competition in balancing markets with energy storage	2017	"Poolla, K.; <br>Taylor, J.A.; <br>Mathieu, J.L.; <br>Callaway, D.S.; <br>Poolla, K."	"<a href=""/scoping/document/47/809726"">809726</a>"	http://dx.doi.org/10.1007/s12667-016-0193-9	0
Flow shop scheduling with grid-integrated onsite wind power using stochastic MILP	2017	"Glock, C.H.; <br>Biel, K.; <br>Zhao, F.; <br>Sutherland, J.W.; <br>Glock, C.H."	"<a href=""/scoping/document/47/809731"">809731</a>"	http://dx.doi.org/10.1080/00207543.2017.1351638	0
Household Level Distributed Energy Management System Integrating Renewable Energy Sources and Electric Vehicles	2017	"Sun, H.; <br>Gosselin, D.; <br>Jiang, J.; <br>Sun, H."	"<a href=""/scoping/document/47/809732"">809732</a>"	http://dx.doi.org/10.1109/VTCSpring.2017.8108626	0
Demand-side management in residential community realizing sharing economy with bidirectional PEV	2017	"Fu, L.-C.; <br>Cheng, P.-H.; <br>Huang, T.-H.; <br>Chien, Y.-W.; <br>Wu, C.-L.; <br>Fu, L.-C."	"<a href=""/scoping/document/47/809736"">809736</a>"	http://dx.doi.org/10.1109/SMC.2017.8122846	0
Classification of electricity customer groups towards individualized price scheme design	2017	"Su, W.; <br>Chen, T.; <br>Qian, K.; <br>Mutanen, A.; <br>Schuller, B.; <br>Jarventausta, P.; <br>Su, W."	"<a href=""/scoping/document/47/809738"">809738</a>"	http://dx.doi.org/10.1109/NAPS.2017.8107189	0
Towards a secure network architecture for smart grids in 5G era	2017	"Rodriguez, J.; <br>Saghezchi, F.B.; <br>Mantas, G.; <br>Ribeiro, J.; <br>Al-Rawi, M.; <br>Mumtaz, S.; <br>Rodriguez, J."	"<a href=""/scoping/document/47/809743"">809743</a>"	http://dx.doi.org/10.1109/IWCMC.2017.7986273	0
Real-time measurement of grid connected solar panels based on wireless sensors network	2017	"Putra, M.H.; <br>Syafii; <br>Rusydi, M.I.; <br>Putra, R.; <br>Putra, M.H."	"<a href=""/scoping/document/47/809744"">809744</a>"	http://dx.doi.org/10.1109/ICSEEA.2016.7873574	0
Post-evaluation of a ground source heat pump system for residential space heating in Shanghai China	2017	"Wang, L.Z.; <br>Lei, Y.; <br>Tan, H.W.; <br>Wang, L.Z."	"<a href=""/scoping/document/47/809748"">809748</a>"	http://dx.doi.org/10.1088/1755-1315/93/1/012053	0
Approaches to induce behavioral changes with respect to electricity consumption	2017	"Fuchigami, Y.; <br>Tsuda, K.; <br>Uwasu, M.; <br>Hara, K.; <br>Fuchigami, Y."	"<a href=""/scoping/document/47/809762"">809762</a>"	http://dx.doi.org/10.1007/s13412-016-0396-3	1
An identity-based secure communication scheme for advanced metering infrastructure in smart grid	2017	"Xu, W.; <br>Zhang, T.; <br>Lu, X.; <br>Ji, X.; <br>Xu, W."	"<a href=""/scoping/document/47/809774"">809774</a>"	http://dx.doi.org/10.1109/CCDC.2017.7978436	0
Characterization of Forward Electricity Market Price Variations and Price-Responsive Demands	2017	"Lima, I.T.; <br>Aldaoudeyeh, A.-M.I.; <br>Kavasseri, R.G.; <br>Lima, I.T."	"<a href=""/scoping/document/47/809791"">809791</a>"	http://dx.doi.org/10.1109/GreenTech.2017.37	0
A robust power management strategy entrenched with multi-mode control features for an integrated residential PV and energy storage system to take the advantage of time-of-use electricity pricing	2017	"Muttaqi, K.M.; <br>Tran, V.T.; <br>Sutanto, D.; <br>Muttaqi, K.M."	"<a href=""/scoping/document/47/809798"">809798</a>"	http://dx.doi.org/10.1109/IAS.2017.8101772	0
Demand response potential evaluation method of time-of-use price for residential community	2017	"Zhou, M.; <br>Wang, Y.; <br>Zhou, M."	"<a href=""/scoping/document/47/809811"">809811</a>"	http://dx.doi.org/10.3969/j.issa1000-7229.2017.11.007	0
Study on Factor Identification and Feature Extraction of Residential Demand Response Behavior	2017	"Jin, Z.; <br>Cai, L.; <br>Gu, J.; <br>Jin, Z."	"<a href=""/scoping/document/47/809834"">809834</a>"	http://dx.doi.org/10.13335/j.1000-3673.pst.2016.2383	0
Multiobjective Model of Time-of-Use and Stepwise Power Tariff for Residential Consumers in Regulated Power Markets	2017	"Liu, J.; <br>Zhou, B.; <br>Yang, R.; <br>Li, C.; <br>Cao, Y.; <br>Wang, Q.; <br>Liu, J."	"<a href=""/scoping/document/47/809842"">809842</a>"	http://dx.doi.org/10.1109/JSYST.2017.2718046	0
A novel market optimization model in order to minimizing environmental cost caused by plants	2017	"Soleymani, S.; <br>Nourinezhad, M.; <br>Soleymani, S."	"<a href=""/scoping/document/47/809866"">809866</a>"	http://dx.doi.org/10.1109/IPSC.2015.7827777	0
Customer perspectives on district heating price models	2017	"Sandgren, A.; <br>Sernhed, K.; <br>Gåverud, H.; <br>Sandgren, A."	"<a href=""/scoping/document/47/809897"">809897</a>"	http://dx.doi.org/10.5278/ijsepm.2017.13.4	0
Demand response evaluation and forecasting — Methods and results from the EcoGrid EU experiment	2017	"Judex, F.; <br>Larsen, E.M.; <br>Pinson, P.; <br>Leimgruber, F.; <br>Judex, F."	"<a href=""/scoping/document/47/809915"">809915</a>"	http://dx.doi.org/10.1016/j.segan.2017.03.001	1
Micro-grid Grid Outage Management using Multi Agent Systems	2017	"Thavam, L.D.; <br>Raju, L.; <br>Morais, A.A.; <br>Rathnakumar, R.; <br>Soundaryaa, P.; <br>Thavam, L.D."	"<a href=""/scoping/document/47/809916"">809916</a>"	http://dx.doi.org/10.1016/j.egypro.2017.05.113	0
